Geneid	Chr	Start	End	Strand	Length	fm_1	fm_2	fm_3	m_4	m_5	m_6
WBGene00008858	I	11579856	11581989	-	2134	0	0	0	0	0	0
WBGene00004963	I	11582743	11586069	-	3327	0	0	0	3	0	2
WBGene00007639	I	11586062	11587337	+	1276	0	0	0	2	2	0
WBGene00006807	I	11592246	11601712	+	9467	0	0	0	0	0	0
WBGene00007640	I	11604027	11611314	-	7288	2	4	2	4	0	0
WBGene00007637	I	11611672	11616244	+	4573	2	1	3	2	0	2
WBGene00007638	I	11616816	11620263	-	3448	0	0	0	0	0	0
WBGene00086552	I	11621576	11621899	-	324	0	0	0	0	0	0
WBGene00012945	I	11623115	11626562	+	3448	0	0	0	0	0	0
WBGene00012264	I	11629641	11629932	+	292	0	0	0	0	0	0
WBGene00012265	I	11631644	11632918	+	1275	0	0	0	0	0	0
WBGene00004275	I	11632983	11638491	-	5509	0	0	0	0	0	0
WBGene00012266	I	11634613	11636910	+	2298	0	0	0	0	0	0
WBGene00012270	I	11638482	11640414	-	1933	0	0	0	0	0	0
WBGene00012269	I	11643021	11645420	+	2400	0	0	0	0	0	0
WBGene00206393	I	11648760	11649206	-	447	0	0	0	0	0	0
WBGene00012268	I	11649982	11651825	+	1844	0	0	0	0	0	0
WBGene00012267	I	11652789	11654313	+	1525	0	0	0	0	0	0
WBGene00271780	I	11655004	11655123	+	120	0	0	0	2	1	1
WBGene00002232	I	11675941	11680975	+	5035	0	0	2	3	1	1
WBGene00008681	I	11680899	11682441	-	1543	0	0	0	2	0	2
WBGene00206532	I	11686089	11686948	-	860	0	0	0	0	0	0
WBGene00011935	I	11688673	11690836	-	2164	0	0	1	1	0	1
WBGene00005523	I	11694577	11697943	-	3367	0	0	0	0	0	0
WBGene00011934	I	11694722	11694997	-	276	0	0	0	0	0	0
WBGene00005524	I	11699169	11701178	+	2010	0	0	0	0	0	0
WBGene00011936	I	11701631	11703698	+	2068	1	2	4	2	9	5
WBGene00009413	I	11707808	11712197	-	4390	0	0	0	0	2	0
WBGene00009415	I	11718864	11719901	+	1038	0	0	0	0	0	0
WBGene00009416	I	11723400	11726326	-	2927	0	0	0	7	4	7
WBGene00009410	I	11736581	11737699	-	1119	0	0	0	0	0	0
WBGene00009409	I	11738656	11740762	-	2107	0	0	0	0	0	0
WBGene00009412	I	11741603	11743966	-	2364	0	0	0	4	1	0
WBGene00012946	I	11744169	11747451	+	3283	0	0	0	1	1	0
WBGene00006876	I	11747424	11804991	-	57568	21	19	10	27	22	25
WBGene00011387	I	11809132	11811266	-	2135	0	0	0	0	0	0
WBGene00011386	I	11813779	11814451	+	673	0	0	0	0	0	0
WBGene00011388	I	11815908	11819280	+	3373	2	1	0	0	0	0
WBGene00011389	I	11819539	11820051	+	513	0	0	0	0	0	0
WBGene00086562	I	11820662	11822646	+	1985	0	0	0	0	0	0
WBGene00012947	I	11830985	11833183	-	2199	0	0	0	1	0	0
WBGene00012948	I	11836460	11849258	+	12799	1	1	0	0	0	0
WBGene00000415	I	11851554	11868105	-	16552	5	5	6	7	2	2
WBGene00001045	I	11877803	11887278	+	9476	0	2	1	0	0	0
WBGene00000821	I	11888501	11890558	-	2058	0	0	0	0	0	1
WBGene00012950	I	11891576	11893727	-	2152	4	2	6	1	1	0
WBGene00012951	I	11893931	11896284	+	2354	3	0	2	2	1	1
WBGene00012955	I	11896674	11897547	+	874	0	0	0	0	0	0
WBGene00012952	I	11898789	11901476	-	2688	0	0	0	0	0	0
WBGene00012953	I	11901660	11903310	+	1651	0	0	0	0	0	0
WBGene00001372	I	11907525	11909280	-	1756	7	5	1	0	2	0
WBGene00011155	I	11909366	11909991	-	626	11	14	11	3	7	6
WBGene00011156	I	11910328	11911021	-	694	15	35	18	16	17	8
WBGene00006707	I	11911320	11912053	+	734	3	2	1	1	3	0
WBGene00003123	I	11912005	11912677	-	673	4	6	4	4	2	3
WBGene00001836	I	11912793	11917712	-	4920	3	4	4	1	0	2
WBGene00011058	I	11917806	11923915	-	6110	1	4	4	1	1	1
WBGene00006958	I	11924541	11929516	-	4976	2	7	4	3	0	1
WBGene00011059	I	11930765	11931757	+	993	3	9	6	4	5	2
WBGene00011060	I	11947001	11953154	+	6154	1	0	0	1	0	2
WBGene00002004	I	11953507	11963085	-	9579	8	2	4	0	2	4
WBGene00044805	I	11971179	11971802	-	624	0	0	0	1	0	0
WBGene00013135	I	11979401	11985619	+	6219	1	1	0	0	0	0
WBGene00013136	I	11998781	12002612	+	3832	0	0	1	0	3	1
WBGene00013137	I	12002552	12004947	-	2396	0	3	1	2	0	0
WBGene00000023	I	12011195	12018684	+	7490	0	0	0	1	5	2
WBGene00013138	I	12020756	12022676	+	1921	0	0	0	5	0	4
WBGene00305049	I	12024796	12028298	+	3503	0	0	0	0	1	0
WBGene00306076	I	12029046	12029504	+	459	0	0	0	0	0	0
WBGene00010247	I	12029922	12032203	-	2282	0	0	0	0	1	1
WBGene00010246	I	12032285	12033737	-	1453	0	1	0	6	3	6
WBGene00010244	I	12041035	12045200	+	4166	2	4	3	6	3	3
WBGene00010248	I	12045201	12046618	-	1418	0	0	0	0	0	0
WBGene00002240	I	12047342	12059798	-	12457	3	2	3	2	1	0
WBGene00002000	I	12060271	12064897	-	4627	19	19	7	7	5	6
WBGene00010242	I	12065943	12069084	-	3142	0	0	0	0	0	0
WBGene00010243	I	12069806	12072904	+	3099	0	0	0	0	0	0
WBGene00000544	I	12073072	12084225	-	11154	0	0	0	2	1	1
WBGene00012958	I	12084295	12087856	-	3562	0	0	0	0	0	0
WBGene00012959	I	12088119	12090062	-	1944	0	0	0	0	0	1
WBGene00012960	I	12091566	12094726	-	3161	0	0	0	0	1	1
WBGene00012961	I	12095482	12097987	-	2506	2	1	0	4	3	1
WBGene00004509	I	12098664	12106112	-	7449	0	0	0	1	0	0
WBGene00010825	I	12107044	12108503	-	1460	0	0	0	0	0	0
WBGene00010822	I	12108588	12112505	-	3918	0	0	0	0	0	1
WBGene00010821	I	12114064	12116290	-	2227	0	0	0	0	0	0
WBGene00305048	I	12117997	12118384	-	388	0	0	0	0	0	0
WBGene00010823	I	12119111	12119586	+	476	0	0	0	0	0	0
WBGene00305047	I	12120141	12121333	-	1193	0	0	0	0	0	0
WBGene00010820	I	12121711	12122060	-	350	0	0	0	0	0	0
WBGene00005858	I	12122811	12125586	+	2776	0	0	0	0	0	0
WBGene00010819	I	12130070	12131381	+	1312	0	0	0	0	0	0
WBGene00010817	I	12132553	12133639	-	1087	0	0	0	0	0	0
WBGene00005526	I	12134268	12136465	-	2198	0	0	0	0	0	0
WBGene00005525	I	12140560	12142757	+	2198	0	0	0	0	0	0
WBGene00005529	I	12144007	12146977	+	2971	0	0	0	0	0	0
WBGene00005528	I	12148080	12150741	-	2662	0	0	0	0	0	0
WBGene00005527	I	12148809	12154333	-	5525	0	0	0	0	0	0
WBGene00008870	I	12157133	12158733	+	1601	0	0	0	1	1	1
WBGene00011026	I	12162392	12163703	-	1312	0	0	0	4	3	5
WBGene00011027	I	12165409	12168174	+	2766	0	0	0	2	1	1
WBGene00011028	I	12168175	12177782	-	9608	0	0	1	0	0	0
WBGene00011029	I	12181054	12183254	-	2201	0	2	2	1	1	0
WBGene00011030	I	12183688	12189008	+	5321	0	0	0	2	2	0
WBGene00077559	I	12189521	12190224	-	704	0	0	0	0	1	0
WBGene00007600	I	12202232	12203720	+	1489	0	0	0	0	0	0
WBGene00007601	I	12203839	12205809	+	1971	0	0	0	16	11	14
WBGene00007602	I	12207097	12212689	+	5593	2	3	2	1	0	1
WBGene00007603	I	12213106	12215198	+	2093	0	2	2	1	0	0
WBGene00008782	I	12216252	12217772	-	1521	0	0	0	1	0	0
WBGene00008783	I	12218432	12222298	-	3867	1	0	0	1	0	0
WBGene00008784	I	12230418	12232303	+	1886	1	0	0	0	0	0
WBGene00008787	I	12232712	12235193	+	2482	0	0	0	0	0	0
WBGene00008785	I	12236018	12238252	+	2235	0	0	0	0	0	0
WBGene00008786	I	12239160	12241808	+	2649	0	0	0	0	0	0
WBGene00003672	I	12245456	12246778	+	1323	0	0	0	0	0	0
WBGene00009607	I	12247771	12250210	+	2440	0	0	0	0	0	0
WBGene00009608	I	12251906	12253636	+	1731	0	0	0	0	0	0
WBGene00009609	I	12254485	12257180	-	2696	0	0	0	0	0	0
WBGene00009610	I	12259912	12262848	-	2937	0	0	0	0	0	0
WBGene00009611	I	12264465	12266420	-	1956	0	0	0	0	0	1
WBGene00009612	I	12266805	12267575	+	771	0	0	0	0	0	0
WBGene00009613	I	12267499	12268128	-	630	0	0	0	0	0	0
WBGene00009615	I	12269255	12272190	-	2936	0	0	0	0	0	0
WBGene00009614	I	12272949	12275210	-	2262	0	0	0	0	0	0
WBGene00009616	I	12276893	12278775	-	1883	0	0	0	0	0	0
WBGene00010162	I	12281221	12282615	+	1395	0	0	0	0	0	0
WBGene00010173	I	12283268	12285397	+	2130	0	0	0	0	0	0
WBGene00010163	I	12286528	12289316	+	2789	0	0	0	0	0	0
WBGene00010165	I	12290449	12292212	+	1764	0	0	0	0	0	0
WBGene00010166	I	12292202	12293936	-	1735	0	0	0	0	0	0
WBGene00010167	I	12294300	12296348	-	2049	0	0	0	0	0	0
WBGene00010168	I	12297734	12300817	+	3084	0	0	0	0	0	0
WBGene00010169	I	12301424	12303157	-	1734	0	0	0	0	0	0
WBGene00010170	I	12303599	12306820	+	3222	0	0	0	0	0	0
WBGene00010171	I	12307731	12310431	+	2701	0	0	0	0	0	0
WBGene00010172	I	12312325	12314962	+	2638	0	0	0	0	0	0
WBGene00008159	I	12315193	12316688	-	1496	0	0	0	0	0	0
WBGene00008160	I	12317321	12318735	-	1415	0	0	0	0	0	0
WBGene00008162	I	12319350	12320854	+	1505	0	0	0	0	0	0
WBGene00008161	I	12321937	12324062	+	2126	0	0	0	0	0	0
WBGene00008163	I	12326343	12327025	-	683	0	0	0	0	0	0
WBGene00003671	I	12327982	12329494	-	1513	0	0	0	0	0	0
WBGene00008158	I	12331085	12333454	+	2370	0	0	0	0	0	0
WBGene00008157	I	12335035	12336605	+	1571	0	0	0	0	0	0
WBGene00011650	I	12337968	12339239	+	1272	0	0	0	0	0	0
WBGene00011651	I	12341145	12342826	+	1682	0	0	0	0	0	0
WBGene00011659	I	12345819	12347265	-	1447	0	0	0	0	0	0
WBGene00011658	I	12347700	12349819	-	2120	0	0	0	0	0	0
WBGene00011657	I	12350935	12352724	+	1790	0	0	0	0	0	0
WBGene00011656	I	12353506	12356337	+	2832	0	0	0	0	0	0
WBGene00011654	I	12356942	12359341	+	2400	0	0	0	0	0	0
WBGene00011653	I	12359942	12363416	+	3475	0	0	0	0	0	0
WBGene00011655	I	12366335	12368619	+	2285	0	0	0	0	0	0
WBGene00011652	I	12369189	12370607	+	1419	0	0	0	0	0	0
WBGene00011778	I	12371350	12372647	+	1298	0	0	0	0	0	0
WBGene00011779	I	12374205	12376135	-	1931	0	0	0	0	0	0
WBGene00001642	I	12376904	12378674	-	1771	0	0	0	0	0	0
WBGene00001641	I	12379335	12381032	-	1698	0	0	0	0	0	0
WBGene00011780	I	12381808	12383259	+	1452	0	0	0	0	0	0
WBGene00003667	I	12384277	12385731	-	1455	0	0	0	0	0	0
WBGene00011781	I	12387705	12388791	+	1087	0	0	0	0	0	0
WBGene00011782	I	12389760	12390979	+	1220	0	0	0	0	0	0
WBGene00011783	I	12392009	12393312	+	1304	0	0	0	0	0	0
WBGene00011784	I	12394120	12396278	+	2159	0	0	0	0	0	0
WBGene00011785	I	12396644	12398267	-	1624	0	0	0	0	0	0
WBGene00011786	I	12399290	12401206	-	1917	0	0	0	0	0	0
WBGene00008470	I	12403144	12404489	-	1346	0	0	0	0	0	0
WBGene00008471	I	12405525	12406946	-	1422	0	0	0	0	0	0
WBGene00008472	I	12407564	12411435	+	3872	0	0	0	0	0	0
WBGene00008473	I	12413809	12415745	+	1937	0	0	0	0	0	0
WBGene00008474	I	12417386	12418800	+	1415	0	0	0	0	0	0
WBGene00008475	I	12421239	12424411	+	3173	0	0	0	0	0	0
WBGene00008476	I	12424412	12426850	-	2439	0	0	0	1	1	0
WBGene00008477	I	12430028	12431500	-	1473	0	0	0	0	0	0
WBGene00008478	I	12433248	12434944	+	1697	0	0	0	0	0	0
WBGene00008479	I	12435726	12437095	+	1370	0	0	0	0	0	0
WBGene00003679	I	12439936	12441253	-	1318	0	0	0	0	0	0
WBGene00008289	I	12442299	12443780	+	1482	0	0	0	0	0	0
WBGene00008290	I	12444582	12446512	+	1931	0	0	0	0	0	0
WBGene00008291	I	12447167	12448240	-	1074	0	0	0	0	0	0
WBGene00008292	I	12449977	12452034	+	2058	0	0	0	0	0	0
WBGene00008293	I	12453389	12454764	+	1376	0	0	0	0	0	0
WBGene00003098	I	12454853	12455826	-	974	0	0	0	0	0	0
WBGene00044242	I	12456926	12457174	+	249	0	0	0	0	0	0
WBGene00008294	I	12458017	12460903	-	2887	0	0	0	0	0	0
WBGene00008295	I	12461656	12461895	+	240	0	0	0	0	0	0
WBGene00001640	I	12462176	12465816	+	3641	0	0	0	0	0	0
WBGene00012102	I	12470620	12473424	-	2805	0	0	0	0	0	1
WBGene00077508	I	12474620	12475934	-	1315	0	0	0	0	0	0
WBGene00012103	I	12476653	12478594	-	1942	0	0	0	0	0	0
WBGene00012104	I	12483809	12486235	+	2427	11	3	5	1	0	1
WBGene00004190	I	12486944	12490890	+	3947	3	3	1	0	1	1
WBGene00012105	I	12490604	12494538	+	3935	3	3	0	2	2	1
WBGene00012106	I	12494826	12497357	+	2532	1	0	1	0	0	0
WBGene00012107	I	12497438	12499409	-	1972	2	1	0	0	0	0
WBGene00010768	I	12497460	12505010	+	7551	2	2	0	0	1	0
WBGene00010769	I	12505114	12507569	+	2456	3	2	1	6	3	3
WBGene00006829	I	12508299	12513420	+	5122	1	3	7	1	1	0
WBGene00010771	I	12513516	12518694	+	5179	1	2	0	0	0	0
WBGene00010770	I	12518787	12528322	+	9536	3	0	0	5	3	6
WBGene00004181	I	12528304	12532135	-	3832	8	8	2	5	1	0
WBGene00012208	I	12532742	12534404	+	1663	7	9	6	4	2	3
WBGene00012209	I	12535314	12537671	+	2358	1	1	1	1	2	0
WBGene00012210	I	12537903	12538986	-	1084	0	1	0	0	0	0
WBGene00012216	I	12551537	12552375	+	839	0	3	0	0	0	2
WBGene00012215	I	12557164	12557543	+	380	0	0	0	0	0	0
WBGene00012214	I	12558547	12558944	+	398	0	0	0	0	0	0
WBGene00012213	I	12559365	12559658	-	294	3	1	1	0	0	0
WBGene00012212	I	12560412	12560672	-	261	1	2	0	0	0	1
WBGene00012211	I	12561040	12561560	-	521	2	0	1	0	0	0
WBGene00045474	I	12562756	12564210	+	1455	0	0	0	0	0	0
WBGene00008216	I	12564356	12565895	+	1540	0	0	0	0	0	0
WBGene00001008	I	12565800	12572801	-	7002	2	0	1	2	1	1
WBGene00077769	I	12577954	12579226	-	1273	0	0	0	0	0	0
WBGene00009359	I	12579897	12580957	-	1061	0	0	0	0	0	0
WBGene00009360	I	12581766	12585139	+	3374	0	0	0	0	0	0
WBGene00009363	I	12585382	12586006	+	625	0	0	0	1	1	0
WBGene00009362	I	12587242	12591091	+	3850	0	0	0	0	1	0
WBGene00009361	I	12591116	12592351	-	1236	1	0	0	0	0	0
WBGene00011581	I	12603758	12606248	-	2491	0	0	0	0	1	0
WBGene00011582	I	12615921	12624241	+	8321	0	0	0	0	0	0
WBGene00011586	I	12624234	12625238	-	1005	0	0	1	0	0	1
WBGene00011583	I	12626674	12629082	-	2409	1	0	0	0	0	0
WBGene00011584	I	12631185	12632555	-	1371	0	0	0	0	0	0
WBGene00010399	I	12635172	12636542	+	1371	0	0	0	0	0	0
WBGene00010401	I	12638685	12640622	+	1938	0	0	0	0	0	0
WBGene00010420	I	12647380	12652087	-	4708	4	1	2	0	0	1
WBGene00010419	I	12652277	12654655	+	2379	118	118	102	124	135	138
WBGene00012040	I	12655014	12656760	-	1747	0	0	0	0	0	0
WBGene00012041	I	12657762	12659446	-	1685	0	0	0	0	0	0
WBGene00012039	I	12661254	12661732	+	479	0	0	0	4	1	1
WBGene00012038	I	12662812	12663833	-	1022	0	0	0	0	0	0
WBGene00012037	I	12665067	12668893	+	3827	2	3	2	2	1	1
WBGene00003921	I	12669380	12674449	+	5070	4	1	2	3	1	2
WBGene00003578	I	12679207	12681812	+	2606	1	0	0	0	1	1
WBGene00012042	I	12681845	12682702	-	858	0	0	0	0	0	0
WBGene00012036	I	12683220	12684386	+	1167	0	0	0	1	1	2
WBGene00005051	I	12686116	12688206	+	2091	0	0	0	0	0	0
WBGene00005043	I	12688727	12690572	+	1846	0	0	0	0	0	0
WBGene00005044	I	12692169	12693724	+	1556	0	0	0	0	0	0
WBGene00005046	I	12696558	12698214	+	1657	0	0	0	0	0	0
WBGene00005047	I	12699430	12701031	+	1602	0	0	0	0	0	0
WBGene00005048	I	12701439	12702886	+	1448	0	0	0	0	0	0
WBGene00005049	I	12703435	12704727	+	1293	0	0	0	0	0	0
WBGene00005050	I	12705097	12706983	+	1887	0	0	0	0	0	0
WBGene00011545	I	12708833	12711596	-	2764	0	0	0	0	0	0
WBGene00011546	I	12712079	12714730	-	2652	0	0	0	0	0	0
WBGene00011547	I	12715648	12716583	+	936	0	0	0	0	0	0
WBGene00011548	I	12718296	12719837	+	1542	0	0	0	0	0	0
WBGene00005835	I	12720205	12722092	+	1888	0	0	0	0	0	0
WBGene00011551	I	12722040	12722889	-	850	0	0	0	0	0	0
WBGene00006889	I	12728137	12729898	+	1762	2	2	2	2	0	0
WBGene00012192	I	12730026	12732722	-	2697	1	3	2	0	1	1
WBGene00012193	I	12733287	12741275	-	7989	2	1	1	1	2	5
WBGene00012194	I	12738087	12741146	+	3060	2	1	1	0	0	0
WBGene00006700	I	12741588	12749562	+	7975	5	12	9	7	1	3
WBGene00012195	I	12750036	12752105	+	2070	0	1	0	0	0	0
WBGene00012196	I	12758186	12759577	+	1392	0	0	0	0	0	0
WBGene00000138	I	12759587	12764960	-	5374	0	1	0	0	1	1
WBGene00007094	I	12773659	12782257	+	8599	1	1	3	0	0	1
WBGene00012474	I	12787943	12806581	-	18639	1	4	2	2	2	2
WBGene00012475	I	12807531	12809296	-	1766	0	0	0	2	3	2
WBGene00012476	I	12809260	12811814	-	2555	0	0	0	1	2	2
WBGene00012477	I	12815904	12816558	+	655	0	0	0	0	0	0
WBGene00001746	I	12819216	12825602	+	6387	4	4	12	7	7	8
WBGene00003735	I	12825664	12834163	+	8500	0	1	2	1	3	2
WBGene00004231	I	12835115	12843331	+	8217	0	0	0	0	0	0
WBGene00012478	I	12844269	12853130	+	8862	1	1	0	1	4	3
WBGene00012479	I	12853076	12858281	-	5206	2	1	0	1	1	0
WBGene00012480	I	12859493	12861293	+	1801	0	1	0	2	7	4
WBGene00012481	I	12861951	12863544	-	1594	11	4	3	0	0	3
WBGene00012488	I	12864230	12865350	-	1121	0	0	0	0	0	0
WBGene00012482	I	12866098	12866911	-	814	0	0	0	1	1	1
WBGene00012487	I	12866988	12869576	-	2589	0	1	2	3	5	0
WBGene00003905	I	12878639	12902806	+	24168	4	7	8	7	10	3
WBGene00012483	I	12903159	12903449	-	291	0	2	0	1	1	0
WBGene00012484	I	12904470	12906040	+	1571	66	62	50	12	10	14
WBGene00001433	I	12915166	12918131	+	2966	0	0	0	1	0	0
WBGene00001427	I	12918722	12919280	+	559	22	12	13	7	7	6
WBGene00003989	I	12922004	12923548	+	1545	15	9	15	16	11	6
WBGene00012486	I	12929372	12931115	+	1744	0	0	0	2	2	0
WBGene00006484	I	12934764	12937362	+	2599	0	0	0	0	0	0
WBGene00008564	I	12938555	12942227	+	3673	1	1	2	3	1	1
WBGene00008565	I	12942280	12946588	+	4309	1	0	2	2	0	1
WBGene00008566	I	12946932	12951099	+	4168	0	0	2	0	0	1
WBGene00008567	I	12951134	12954003	+	2870	0	0	1	0	0	0
WBGene00045468	I	12953969	12955322	-	1354	0	0	0	1	0	0
WBGene00008568	I	12955325	12958051	-	2727	0	0	0	0	0	0
WBGene00008569	I	12958640	12959932	-	1293	3	0	0	0	2	0
WBGene00008130	I	12960313	12961619	-	1307	0	1	1	1	0	0
WBGene00008131	I	12962038	12964579	-	2542	3	1	4	2	1	1
WBGene00006529	I	12964674	12966795	-	2122	70	54	63	46	47	40
WBGene00003948	I	12967216	12968280	-	1065	12	8	13	9	7	6
WBGene00001234	I	12968946	12970272	+	1327	4	4	4	7	1	0
WBGene00008132	I	12970239	12978787	+	8549	8	2	7	5	6	4
WBGene00004196	I	12971615	12972259	+	645	0	0	1	0	0	1
WBGene00008133	I	12978839	12982451	+	3613	0	0	1	0	1	0
WBGene00008134	I	12982052	12983974	+	1923	0	1	1	0	0	0
WBGene00003753	I	12988231	12995475	+	7245	0	1	0	0	2	2
WBGene00004895	I	12995803	13012859	+	17057	2	2	3	1	1	2
WBGene00004063	I	13004437	13023624	+	19188	1	1	2	1	1	5
WBGene00012274	I	13033483	13045541	+	12059	0	1	1	0	6	0
WBGene00012275	I	13050445	13057461	+	7017	0	0	0	0	0	1
WBGene00003675	I	13055201	13062122	-	6922	0	0	0	0	0	1
WBGene00012500	I	13066624	13069046	+	2423	0	0	0	11	12	15
WBGene00012502	I	13069521	13071190	-	1670	0	0	0	2	0	2
WBGene00012501	I	13072229	13073057	-	829	0	0	0	0	0	0
WBGene00012503	I	13076270	13077020	+	751	0	0	0	0	0	0
WBGene00045234	I	13077073	13077941	+	869	0	0	0	0	0	0
WBGene00012504	I	13081412	13082166	-	755	0	0	0	0	1	0
WBGene00012509	I	13082681	13082966	-	286	0	0	0	0	0	0
WBGene00012505	I	13083321	13085505	-	2185	0	0	0	0	0	0
WBGene00007655	I	13085106	13103119	-	18014	0	0	0	0	0	0
WBGene00077684	I	13101346	13101925	+	580	0	0	0	0	0	0
WBGene00007656	I	13104251	13106465	+	2215	0	0	0	0	0	0
WBGene00044711	I	13107136	13107453	+	318	0	0	0	0	0	0
WBGene00044709	I	13107492	13109778	-	2287	0	0	0	0	0	0
WBGene00007657	I	13107492	13114188	-	6697	0	0	0	0	0	0
WBGene00007658	I	13113487	13116434	+	2948	0	0	1	0	0	0
WBGene00007662	I	13121092	13123513	+	2422	0	0	0	0	0	0
WBGene00044708	I	13124168	13126650	-	2483	0	0	0	0	0	0
WBGene00007661	I	13128470	13130387	-	1918	0	0	0	0	0	0
WBGene00007659	I	13130813	13132466	-	1654	0	0	0	0	0	0
WBGene00044237	I	13133648	13136156	+	2509	0	0	0	0	0	0
WBGene00007660	I	13136390	13138544	-	2155	0	0	0	0	1	0
WBGene00009061	I	13139122	13141898	+	2777	0	0	0	0	0	0
WBGene00044707	I	13143195	13144623	+	1429	0	0	0	0	0	0
WBGene00009063	I	13152569	13153734	+	1166	0	0	0	0	0	0
WBGene00009064	I	13155224	13161508	-	6285	3	3	2	1	1	1
WBGene00009065	I	13162492	13182726	+	20235	15	5	6	10	5	4
WBGene00077766	I	13183452	13183772	-	321	0	0	0	0	0	0
WBGene00008905	I	13184852	13188192	+	3341	0	0	0	0	0	0
WBGene00138716	I	13189792	13190583	-	792	0	0	0	0	0	0
WBGene00045458	I	13191089	13191924	+	836	0	0	0	0	0	0
WBGene00008906	I	13191902	13194645	-	2744	0	0	0	0	0	0
WBGene00008907	I	13197128	13198376	-	1249	0	0	0	3	0	0
WBGene00008908	I	13199350	13201037	+	1688	0	0	0	0	0	0
WBGene00044058	I	13201710	13204293	+	2584	0	0	0	0	0	0
WBGene00008909	I	13204497	13205403	+	907	0	0	0	0	1	0
WBGene00014235	I	13205612	13207835	+	2224	0	0	0	0	0	0
WBGene00014236	I	13208441	13210462	+	2022	0	0	0	0	0	0
WBGene00014238	I	13214095	13216230	-	2136	0	0	0	6	4	2
WBGene00014239	I	13216590	13218852	-	2263	0	0	0	0	1	2
WBGene00006048	I	13219141	13219464	+	324	0	0	0	1	0	3
WBGene00014196	I	13227995	13229701	-	1707	0	0	0	0	0	0
WBGene00014197	I	13232171	13234686	+	2516	0	0	0	7	7	7
WBGene00014200	I	13235348	13236663	+	1316	0	0	0	0	0	0
WBGene00014201	I	13238538	13240733	+	2196	0	0	0	2	1	3
WBGene00014199	I	13241655	13244730	+	3076	2	0	1	0	2	1
WBGene00014198	I	13246853	13249778	+	2926	0	0	0	0	0	0
WBGene00009695	I	13254141	13257729	+	3589	0	0	0	3	0	2
WBGene00009698	I	13260866	13262733	-	1868	0	0	0	0	0	0
WBGene00009696	I	13263803	13265570	-	1768	0	0	0	0	0	0
WBGene00006902	I	13269984	13272781	+	2798	1	0	1	0	0	0
WBGene00010805	I	13277616	13280175	-	2560	0	0	1	0	0	0
WBGene00010806	I	13280846	13286504	-	5659	6	8	6	4	3	3
WBGene00010807	I	13287553	13289542	-	1990	3	2	4	2	0	3
WBGene00006595	I	13292506	13297558	+	5053	10	8	10	5	2	8
WBGene00010808	I	13298204	13300716	-	2513	1	1	0	0	0	0
WBGene00011431	I	13302759	13304311	-	1553	0	0	1	0	0	0
WBGene00011432	I	13307051	13308685	+	1635	0	0	0	0	0	0
WBGene00011435	I	13309988	13310711	+	724	1	1	0	0	0	0
WBGene00011433	I	13310887	13318716	-	7830	2	1	0	0	0	1
WBGene00001555	I	13325230	13333513	+	8284	5	1	1	0	1	0
WBGene00011434	I	13329174	13330947	-	1774	5	1	1	0	1	0
WBGene00012343	I	13333440	13336146	-	2707	1	5	1	1	2	6
WBGene00012345	I	13337430	13338931	-	1502	0	0	0	1	1	1
WBGene00004915	I	13339397	13340224	+	828	8	13	19	0	2	5
WBGene00012344	I	13340327	13343952	+	3626	12	18	12	6	8	7
WBGene00012732	I	13344068	13346963	+	2896	0	1	1	0	0	3
WBGene00012734	I	13347066	13359643	+	12578	2	0	0	1	1	0
WBGene00012735	I	13360053	13366888	-	6836	3	2	2	1	1	1
WBGene00077546	I	13376839	13377349	+	511	0	0	0	0	0	0
WBGene00007218	I	13381392	13384371	+	2980	0	0	0	0	0	0
WBGene00007217	I	13384752	13387084	+	2333	2	7	5	2	0	1
WBGene00007215	I	13387819	13391205	+	3387	5	4	2	0	1	1
WBGene00007216	I	13392118	13394001	+	1884	0	3	1	2	0	0
WBGene00007214	I	13397270	13398631	+	1362	0	0	0	1	1	3
WBGene00007219	I	13402448	13404106	+	1659	0	0	0	0	1	2
WBGene00007213	I	13409897	13411554	-	1658	0	0	0	0	1	0
WBGene00219206	I	13411660	13412914	+	1255	0	0	0	0	0	0
WBGene00012289	I	13418458	13423377	+	4920	0	0	1	1	1	0
WBGene00044066	I	13423997	13425148	-	1152	0	0	0	0	0	0
WBGene00012739	I	13426451	13428471	-	2021	4	4	2	0	0	1
WBGene00012740	I	13428913	13434611	+	5699	1	2	2	5	1	2
WBGene00012738	I	13435489	13437963	+	2475	3	2	4	0	4	2
WBGene00005010	I	13438058	13450218	+	12161	4	3	2	1	1	0
WBGene00013023	I	13451463	13452845	+	1383	0	0	0	0	1	0
WBGene00013021	I	13455356	13470371	-	15016	1	3	4	3	0	0
WBGene00013020	I	13470592	13474185	-	3594	6	2	2	6	2	4
WBGene00013019	I	13477152	13487368	-	10217	2	1	0	1	1	0
WBGene00013018	I	13489587	13491120	+	1534	3	4	4	5	3	0
WBGene00013603	I	13491381	13500256	-	8876	0	0	0	0	0	1
WBGene00003585	I	13492983	13507068	+	14086	0	0	0	0	0	0
WBGene00044260	I	13508814	13512024	+	3211	0	0	0	0	1	0
WBGene00013604	I	13512313	13514290	-	1978	1	1	0	0	1	0
WBGene00013593	I	13514550	13526247	+	11698	1	1	1	1	1	1
WBGene00219288	I	13527366	13527963	-	598	0	0	0	0	0	0
WBGene00044261	I	13528690	13531462	-	2773	0	0	0	1	3	0
